experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,run_dir,bin_type,region,bin_id,mean_delta,ci95,n
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,eta,in,2,0.07048045746788573,0.027358645931115238,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,eta,out,1,0.5990677467314164,0.03363528452078691,40
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,eta,out,2,0.6598833646817763,0.021246331261610282,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,density,in,0,0.03404252458578245,0.013507426767496727,49
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,density,in,1,0.0811313606098465,0.03229257576544881,43
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,density,in,2,0.05893680867555211,0.044450976997140484,32
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,density,out,0,0.40041182237756656,0.03078412495139702,49
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,density,out,1,0.41531245749629314,0.04449481341520037,43
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,density,out,2,0.4675960214386282,0.0521657824182241,32
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,eta,in,0,0.51651732559251,0.05550675713864073,2
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,eta,in,1,0.08021840470755266,0.028197450603169208,53
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,eta,in,2,0.0254797099689724,0.007662236355089527,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,eta,out,0,0.5460289250748873,0.014008352225271413,2
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,eta,out,1,0.475885143551963,0.026857763618789308,53
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_21a0127f,eta,out,2,0.37866256806483556,0.0347287812295083,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,density,in,0,0.0746222777492594,0.01855858571041053,57
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,density,in,1,0.05549155155462185,0.017064303193172786,22
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,density,in,2,0.166935227028922,0.08645875682206586,28
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,density,out,0,0.6364167047411167,0.028489830128141554,57
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,density,out,1,0.6571162170407845,0.03598329983437282,22
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,density,out,2,0.6286757109413654,0.0662093783220558,28
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,eta,in,1,0.09415335224063413,0.03019769566163096,39
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,eta,in,2,0.09524249390197868,0.037224295293137755,68
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,eta,out,1,0.5941187831942341,0.03885756416630768,39
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,eta,out,2,0.6641852398077062,0.029026501192692115,68
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_3a71610e,density,in,0,0.09046889875690242,0.02539016391889426,46
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_3a71610e,density,in,1,0.09930593066562274,0.020148671730365067,34
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_3a71610e,density,in,2,0.14080298087211615,0.03923863078271075,33
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_3a71610e,density,out,0,0.38054330350309196,0.026234341775711923,46
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_3a71610e,density,out,1,0.3771562614795037,0.0316549078444834,34
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_3a71610e,density,out,2,0.36781961929929013,0.04462806832539396,33
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_3a71610e,eta,in,1,0.1289746605644554,0.03582941915782219,44
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_3a71610e,eta,in,2,0.09434180129554316,0.015057232257431488,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_3a71610e,eta,out,1,0.3470977560524355,0.038738718005552654,44
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_3a71610e,eta,out,2,0.3941166814784748,0.018448697469918764,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,density,in,0,0.07336023425007021,0.021222055754375295,47
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,density,in,1,0.03889887507017318,0.01083038496026692,31
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,density,in,2,0.13375711625064185,0.06088073663896505,31
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,density,out,0,0.6317246815704182,0.0278220446036204,47
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,density,out,1,0.6546071564889862,0.025236591515243677,31
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,density,out,2,0.6293800047526128,0.04553255846567851,31
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,eta,in,1,0.09842787938536127,0.03095646962579987,40
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,eta,in,2,0.07048045746788573,0.027358645931115238,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,eta,out,1,0.5990677467314164,0.03363528452078691,40
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,eta,out,2,0.6598833646817763,0.021246331261610282,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5346b242,density,in,0,0.0746222777492594,0.01855858571041053,57
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5346b242,density,in,1,0.05549155155462185,0.017064303193172786,22
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5346b242,density,in,2,0.1752592996601086,0.08500456765169659,29
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5346b242,density,out,0,0.6364167047411167,0.028489830128141554,57
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5346b242,density,out,1,0.6571162170407845,0.03598329983437282,22
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5346b242,density,out,2,0.6295391871811972,0.06390792720613214,29
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5346b242,eta,in,1,0.09415335224063413,0.03019769566163096,39
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5346b242,eta,in,2,0.09978004229953455,0.0377436150203689,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5346b242,eta,out,1,0.5941187831942341,0.03885756416630768,39
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5346b242,eta,out,2,0.6640335192582683,0.028604279698667006,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,density,in,0,0.031379340611696956,0.012614235070764474,57
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,density,in,1,0.10362657653233358,0.053862314469564763,28
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,density,in,2,0.06125081854711213,0.03913936760079769,30
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,density,out,0,0.3858831785374788,0.025624460561583025,57
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,density,out,1,0.38746069076284345,0.056996532642333904,28
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,density,out,2,0.45563414811194014,0.047209472003301715,30
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,eta,in,1,0.09257988589107302,0.03578133581289464,47
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,eta,in,2,0.03200641878389702,0.01658920014160374,68
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,eta,out,1,0.4359112982708469,0.036326826818004226,47
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,eta,out,2,0.38272696974447507,0.028667619146494464,68
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6157bf78,density,in,0,0.03404252458578245,0.013507426767496727,49
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6157bf78,density,in,1,0.0811313606098465,0.03229257576544881,43
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6157bf78,density,in,2,0.05893680867555211,0.044450976997140484,32
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6157bf78,density,out,0,0.40041182237756656,0.03078412495139702,49
